-0.026809 0.070296 0.086815
-0.040388 0.063340 0.087149
-0.029159 0.056191 0.088266
-0.041331 0.051010 0.088593
-0.039202 0.046869 0.063144
-0.026004 0.068220 0.059266
-0.032519 0.021003 0.058517
-0.025129 0.025270 0.068658
-0.008035 -0.003143 0.074119
-0.012687 -0.000079 0.085950
0.000086 0.077837 0.060437
-0.000031 -0.006960 0.088005
0.012657 -0.000098 0.085769
0.008087 -0.003208 0.074425
0.025207 0.025354 0.068654
0.032451 0.020864 0.058801
0.026141 0.068097 0.059111
0.039222 0.046733 0.063254
0.041342 0.051098 0.088467
0.029094 0.056586 0.088187
0.040222 0.063282 0.087088
0.026775 0.070333 0.086571
