0 1 0 32 -0.439379 9.293620 0.431554 0.000001 0.000004 2.556314
0 1 1 32 -0.038989 11.815755 3.468759 0.000001 0.000012 14.286891
1 0 0 32 0.308545 7.251302 0.792026 0.000001 0.000004 9.162395
1 0 1 32 -0.044729 7.927083 1.328096 0.000002 0.000005 7.421540
2 1 0 32 -0.436099 6.884115 0.425771 0.000003 0.000019 3.764955
2 1 1 32 -0.035002 7.901693 2.979616 0.000002 0.000014 13.137525
3 0 0 32 0.303506 8.492839 0.836061 0.000001 0.000006 11.398779
3 0 1 32 -0.044238 9.871745 1.299000 0.000001 0.000012 6.720054
4 0 0 32 0.298304 2.548177 1.263519 0.000012 0.000121 10.778555
4 0 1 32 -0.053685 2.768229 1.491464 0.000006 0.000027 9.783402
6 0 0 32 0.285316 7.945964 0.720944 0.000001 0.000008 8.157845
6 0 1 32 -0.052743 8.010417 1.395383 0.000001 0.000005 8.246758
7 0 0 32 0.287662 6.557943 0.905999 0.000004 0.000026 12.525916
7 0 1 32 -0.046529 5.576823 1.363757 0.000001 0.000005 8.561749
8 0 0 32 0.273019 1.950521 1.034610 0.000014 0.000066 8.744395
9 0 0 33 0.276557 8.341540 0.724587 0.000002 0.000009 9.429143
9 0 1 32 -0.035491 9.925781 1.167196 0.000002 0.000009 9.068663
10 1 0 32 -0.428893 6.794922 0.449566 0.000001 0.000006 3.326714
10 1 1 32 -0.050771 6.744792 3.361292 0.000002 0.000012 14.641098
11 0 0 32 0.272235 8.041667 0.683776 0.000001 0.000004 9.021977
11 0 1 32 -0.030857 8.861979 1.388335 0.000001 0.000006 12.361643
12 1 0 32 -0.406940 9.813151 0.426916 0.000001 0.000007 2.385536
12 1 1 32 -0.020099 11.785156 3.536709 0.000002 0.000014 13.706184
14 0 0 32 0.281757 9.175781 0.820941 0.000002 0.000009 11.138244
14 0 1 32 -0.032127 9.431641 1.441888 0.000001 0.000017 11.242096
16 1 0 32 -0.418133 8.812500 0.526672 0.000003 0.000016 3.615863
16 1 1 32 -0.047192 10.639323 3.472132 0.000001 0.000008 15.120121
17 1 0 32 -0.408712 8.702474 0.542635 0.000002 0.000012 3.825436
17 1 1 32 -0.039450 10.798177 3.599900 0.000002 0.000019 15.545591
19 0 0 32 0.297176 10.323568 0.763111 0.000002 0.000005 9.734909
19 0 1 32 -0.023975 10.876302 1.406648 0.000001 0.000004 6.679874
20 1 0 32 -0.418074 9.358073 0.585044 0.000002 0.000010 6.015254
20 1 1 32 -0.033144 11.710938 3.415567 0.000002 0.000010 13.995032
21 0 0 32 0.303318 6.949870 0.722630 0.000002 0.000013 9.929603
21 0 1 32 -0.025578 8.333984 1.342553 0.000002 0.000015 7.850444
